SampleNo,SampleClassif,SampleName ,G# ,Date/TimeOfAnalysis,K404.721(1)QuantAverage,K766.490(1)QuantAverage,K769.896(1)QuantAverage,Mg279.553(1)QuantAverag,Mg280.270(1)QuantAverag,Mg383.231(1)QuantAverag,P177.499(1)QuantAverage,P178.287(1)QuantAverage,P213.618(1)QuantAverage
1,UNK,ijklijn(0ppm),1,02/25/25 08:22 AM,1072.907,18860.85,10826.13,34109.74,27053.81,759.2998,19.87493,28.42493,139.4959
2,UNK,ijklijn(20ppm),1,02/25/25 08:28 AM,2108.018,187201.8,110990.2,!!!!!!!,!!!!!!!,21614.03,91.08738,107.5347,1091.064
3,UNK,ijklijn(40ppm),1,02/25/25 08:33 AM,2888.47,!!!!!!!,195510.3,!!!!!!!,!!!!!!!,40403.44,148.8816,171.289,1957.84
4,UNK,ijklijn(60ppm),1,02/25/25 08:39 AM,3456.448,!!!!!!!,!!!!!!!,!!!!!!!,!!!!!!!,57987.42,194.6733,221.8959,2727.368
5,UNK,ijklijn(80ppm),1,02/25/25 08:44 AM,3958.923,!!!!!!!,!!!!!!!,!!!!!!!,!!!!!!!,73219.72,232.0533,262.5107,3343.062
6,UNK,ijklijn(100ppm),1,02/25/25 08:49 AM,4449.757,!!!!!!!,!!!!!!!,!!!!!!!,!!!!!!!,91912.39,272.8075,306.5867,4073.397
7,UNK,MR_02242025,1,02/25/25 08:55 AM,1321.515,73520.55,42432.1,!!!!!!!,!!!!!!!,2765.235,176.0329,275.4856,1616.574
8,UNK,MR_02242025,1,02/25/25 09:00 AM,1326.947,60582.12,34946.26,!!!!!!!,328867.7,2033.635,252.486,397.4934,2357.665
9,UNK,RS_24022025,1,02/25/25 09:06 AM,1527.941,193543.9,116848.5,!!!!!!!,296604.3,1959.26,293.1502,461.9803,2745.12
10,UNK,DT_02242025,1,02/25/25 09:11 AM,1312.342,52302.34,29821.22,!!!!!!!,!!!!!!!,2886.14,129.8081,200.3576,1153.044
11,UNK,CM_H2O_wort,1,02/25/25 09:17 AM,1868.802,!!!!!!!,!!!!!!!,!!!!!!!,!!!!!!!,3627.881,564.7178,894.9605,5396.031
12,UNK,CM_H2O_blad,1,02/25/25 09:22 AM,1246.083,46636.38,26550.3,!!!!!!!,!!!!!!!,2171.201,169.5341,264.6371,1554.18
13,UNK,BF_20050224,1,02/25/25 09:27 AM,1572.026,62956.6,35859.57,!!!!!!!,!!!!!!!,6593.491,490.4593,769.9604,4596.097
